apply	function_address	owner	field_offset	rendered_alias	assignment_address	expected_alias_type	element_type_path	descriptor_type_path	split_required	confidence	reason
1	005D0150	SettMapMTy	8068	pcVar7	005D03A1	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0150	SettMapMTy	8068	pcVar8		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D06C0	SettMapMTy	8068	pcVar3		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0850	SettMapMTy	8068	pcVar2		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0A20	SettMapMTy	8068	pAVar5	005D0A7F	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D00B0_9E7CC102	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D0A20	SettMapMTy	8068	pcVar3	005D0ABD	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0BB0	SettMapMTy	8068	pcVar3		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0ED0	SettMapMTy	8068	pcVar8		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D1100	SettMapMTy	8068	pAVar6	005D115D	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D00B0_9E7CC102	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D1100	SettMapMTy	8068	pcVar7		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D1380	SettMapMTy	8068	pcVar3	005D13AC	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D1400	SettMapMTy	7727	puVar18		pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1E2FElement	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1E2FDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D1400	SettMapMTy	8068	pAVar27	005D2972	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D1400_5A9F7B11	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D1400	SettMapMTy	8068	pAVar34	005D21F5	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D1400_891386BF	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D1400	SettMapMTy	8068	pcVar29		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D1400	SettMapMTy	8068	pcVar35	005D1CFD	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005E1330	MTaskTy	116	pAVar15		pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E1330_47BFB53C	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_0074Element	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_0074DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005F21D0	STManBasisC	56	psVar5	005F21FD	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/STManBasisC_field_0038Element	/SubmarineTitans/Recovered/DArraySpecializations/STManBasisC_field_0038DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005F4C50	STBHEShellC	361	pcVar3	005F4DD3	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STBHEShellC_field_0169Element	/SubmarineTitans/Recovered/DArraySpecializations/STBHEShellC_field_0169DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005F4FA0	STBHEShellC	361	pcVar9	005F5090	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STBHEShellC_field_0169Element	/SubmarineTitans/Recovered/DArraySpecializations/STBHEShellC_field_0169DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005F53A0	STBHEShellC	361	pcVar3	005F53D3	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STBHEShellC_field_0169Element	/SubmarineTitans/Recovered/DArraySpecializations/STBHEShellC_field_0169DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005F5B80	STBHEShellC	361	pcVar4	005F5BF6	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STBHEShellC_field_0169Element	/SubmarineTitans/Recovered/DArraySpecializations/STBHEShellC_field_0169DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00609B90	STFieldC	564	puVar4	00609BE9	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/STFieldC_field_0234Element	/SubmarineTitans/Recovered/DArraySpecializations/STFieldC_field_0234DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00609CD0	STFieldC	564	puVar3	00609D03	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/STFieldC_field_0234Element	/SubmarineTitans/Recovered/DArraySpecializations/STFieldC_field_0234DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00609D60	STFieldC	564	puStack_c	00609D8D	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/STFieldC_field_0234Element	/SubmarineTitans/Recovered/DArraySpecializations/STFieldC_field_0234DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0060C1A0	STFieldC	564	puVar3	0060C222	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/STFieldC_field_0234Element	/SubmarineTitans/Recovered/DArraySpecializations/STFieldC_field_0234DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0061F290	STLightC	163	piVar5	0061F2E0	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/STLightC_field_00A3Element	/SubmarineTitans/Recovered/DArraySpecializations/STLightC_field_00A3DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	0061F530	STLightC	163	piVar2	0061F555	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/STLightC_field_00A3Element	/SubmarineTitans/Recovered/DArraySpecializations/STLightC_field_00A3DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0061FA40	SndUnderAttMenegC	185	piVar1	0061FA8B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00B9Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00B9DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00620030	SndUnderAttMenegC	197	piVar1	0062007B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00C5Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00C5DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	006203F0	SndUnderAttMenegC	209	piVar1	0062043B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00D1Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00D1DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00620780	SndUnderAttMenegC	221	piVar1	006207CB	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00DDElement	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00DDDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00620B20	SndUnderAttMenegC	233	piVar1	00620B6B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00E9Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00E9DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00620F60	SndUnderAttMenegC	245	piVar1	00620FAB	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_00F5Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_00F5DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00621300	SndUnderAttMenegC	257	piVar1	0062134B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_0101Element	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_0101DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00621780	SndUnderAttMenegC	266	puVar2	006217A2	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/SndUnderAttMenegC_field_010AElement	/SubmarineTitans/Recovered/DArraySpecializations/SndUnderAttMenegC_field_010ADArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00630430	STManRuinC	60	puVar10	006305C0	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_003CElement	/SubmarineTitans/Recovered/DArraySpecializations/STManRuinC_field_003CDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00630AC0	STManRuinC	56	psVar3	00630AE3	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_0038Element	/SubmarineTitans/Recovered/DArraySpecializations/STManRuinC_field_0038DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00631010	STManRuinC	56	psVar3	00631040	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_0038Element	/SubmarineTitans/Recovered/DArraySpecializations/STManRuinC_field_0038DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00631190	STManRuinC	56	psVar3	006311A9	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_0038Element	/SubmarineTitans/Recovered/DArraySpecializations/STManRuinC_field_0038DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00631450	STManRuinC	56	psVar3	00631473	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_0038Element	/SubmarineTitans/Recovered/DArraySpecializations/STManRuinC_field_0038DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0063D280	STTmMineC	822	pcVar6	0063D32A	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STTmMineC_field_0336Element	/SubmarineTitans/Recovered/DArraySpecializations/STTmMineC_field_0336DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0063E160	STTmMineC	822	pcStack_c	0063E191	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/STTmMineC_field_0336Element	/SubmarineTitans/Recovered/DArraySpecializations/STTmMineC_field_0336DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0067B520	AiPlrClassTy	1697	pvVar8	0067B5CF	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	/SubmarineTitans/Recovered/DArraySpecializations/AiPlrClassTy_field_06A1DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068E290	AiTactClassTy	165	puVar4	0068E2B6	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068E480	AiTactClassTy	165	puVar5	0068E4A6	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068E610	AiTactClassTy	165	puVar1	0068E636	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068E730	AiTactClassTy	165	puVar3	0068E774	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068EC70	AiTactClassTy	165	puVar12		pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068EC70	AiTactClassTy	165	puVar9	0068ED5F	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
