address	function	owner	vtable_slots	deallocates_this	this_field_writes	zeroed_this_fields	same_this_calls	field_cleanup_calls	total_calls
00490F60	FUN_00490f60	STBoatC	0x9C	0	0	0	1	0	6
00491070	STBoatC::ReleaseLoad	STBoatC	0xA0	0	4	1	2	0	3
00491200	FUN_00491200	STBoatC	0xAC	0	1	1	0	0	0
00491240	STBoatC::PrepareForLoading	STBoatC	0xB0	0	36	2	3	0	5
00491600	FUN_00491600	STBoatC	0xB4	0	1	0	0	0	5
00491720	FUN_00491720	STBoatC	0xB8	0	3	3	1	0	9
00491980	FUN_00491980	STBoatC	0xC0	0	0	0	2	0	2
00493110	FUN_00493110	STBoatC	0x118	0	7	2	0	0	4
00493CA0	FUN_00493ca0	STBoatC	0xC	0	0	0	0	0	1
00494870	FUN_00494870	STBoatC	0xF4	0	0	0	1	0	1
00494DF0	FUN_00494df0	STBoatC	0x94	0	2	0	0	0	2
00494F00	FUN_00494f00	STBoatC	0x98	0	2	2	0	0	2
00495980	DumpClassC::GetMessage	DumpClassC	0x0	0	0	0	1	0	23
00497E00	STGroupBoatC::GetMessage	STGroupBoatC	0x0	0	0	0	0	0	111
00498D20	STGroupBoatC::SetOrderData	STGroupBoatC	0x8	0	4	0	0	0	27
004A0EE0	FUN_004a0ee0	STGroupBoatC	0x4	0	0	0	2	0	4
004A4240	STGroupBoatC::ChangeMDNotify	STGroupBoatC	0x10	0	0	0	0	0	47
004A4D60	STGroupBoatC::ChangeMDNotify	STGroupBoatC	0x14	0	0	0	0	0	7
004A8920	OpticClassC::GetMessage	OpticClassC	0x0	0	0	0	0	0	22
004B9FA0	TLOBaseTy::GetMessage	TLOBaseTy	0x0	0	0	0	0	0	285
004BE110	FUN_004be110	TLOBaseTy	0xC	0	0	0	0	0	1
004BE1A0	FUN_004be1a0	TLOBaseTy	0xEC	0	0	0	0	0	1
004BE1D0	FUN_004be1d0	TLOBaseTy	0xF0	0	0	0	1	0	1
004BE200	FUN_004be200	TLOBaseTy	0xF4	0	0	0	1	0	1
004BE290	FUN_004be290	TLOBaseTy	0x70	0	0	0	0	0	1
004BE380	FUN_004be380	TLOBaseTy	0x7C	0	0	0	0	0	1
004BE3D0	FUN_004be3d0	TLOBaseTy	0x84	0	2	0	0	0	1
004BE470	FUN_004be470	TLOBaseTy	0x80	0	3	0	0	0	1
004BE500	TLOBaseTy::SetActivity	TLOBaseTy	0xE8	0	0	0	0	0	9
004BE6C0	FUN_004be6c0	TLOBaseTy	0x30	0	0	0	0	0	8
004BEA70	FUN_004bea70	TLOBaseTy	0x34	0	0	0	4	0	136
004C21A0	FUN_004c21a0	TLOBaseTy	0x28	0	0	0	0	0	18
004C2840	FUN_004c2840	TLOBaseTy	0x68	0	0	0	0	0	2
004C28B0	FUN_004c28b0	TLOBaseTy	0x5C	0	0	0	0	0	1
004C5980	FUN_004c5980	TLOBaseTy	0xDC	0	0	0	0	0	2
004C5BD0	FUN_004c5bd0	TLOBaseTy	0xE0	0	0	0	0	0	4
004C6A00	TLOBldMark::GetMessage	TLOBldMark	0x0	0	0	0	0	0	6
004CCAD0	FUN_004ccad0	TLOBaseTy	0x10C	0	4	3	9	0	10
004CCC10	FUN_004ccc10	TLOBaseTy	0x110	0	7	2	12	0	49
004CE0F0	FUN_004ce0f0	TLOBaseTy	0x50	0	0	0	1	0	6
004CF640	FUN_004cf640	TLOBaseTy	0x3C	0	0	0	3	0	13
004D0B90	TLOFakeTy::GetMessage	TLOFakeTy	0x0	0	0	0	0	0	12
004D55B0	TLOEmbryoTy::GetMessage	TLOEmbryoTy	0x0	0	0	0	0	0	58
004D67B0	TLOBaseTy::SetActivity	TLOBaseTy	0xE8	0	0	0	0	0	5
004D7390	FUN_004d7390	TLOBaseTy	0xD0	0	0	0	1	0	1
004DA340	FUN_004da340	TLOBaseTy	0x44	0	0	0	0	0	1
004E3200	FUN_004e3200	TLOBaseTy	0x38	0	0	0	2	0	31
004EDF30	BehPanelTy::ShiftControls	BehPanelTy	0x18	0	2	0	1	0	8
004EE0A0	BehPanelTy::Update	BehPanelTy	0x20	0	0	0	0	0	11
004EE4D0	BehPanelTy::GetMessage	BehPanelTy	0x0	0	0	0	0	0	19
004EF020	BldBoatPanelTy::Update	BldBoatPanelTy	0x1C	0	0	0	0	0	6
004EF6D0	BldBoatPanelTy::GetMessage	BldBoatPanelTy	0x0	0	0	0	0	0	17
004EFD10	BldLabPanelTy::Update	BldLabPanelTy	0x1C	0	0	0	0	0	6
004F0210	BldLabPanelTy::GetMessage	BldLabPanelTy	0x0	0	0	0	0	0	12
004F0B60	BldObjPanelTy::Update	BldObjPanelTy	0x1C	0	0	0	0	0	6
004F1080	BldObjPanelTy::GetMessage	BldObjPanelTy	0x0	0	0	0	0	0	16
004FB060	CPanelTy::GetMessage	CPanelTy	0x0	0	1	0	0	0	158
00510370	FrmPanelTy::ShiftControls	FrmPanelTy	0x1C	0	2	0	1	0	6
005104B0	FrmPanelTy::Update	FrmPanelTy	0x24	0	0	0	0	0	5
005107C0	FrmPanelTy::GetMessage	FrmPanelTy	0x4	0	0	0	0	0	15
00511FA0	HelpPanelTy::SetPanel	HelpPanelTy	0x18	0	0	0	0	0	18
0051DDD0	HelpPanelTy::GetMessage	HelpPanelTy	0x0	0	0	0	0	0	94
0051FBA0	HelpStringTy::GetMessage	HelpStringTy	0x0	0	0	0	0	0	13
005205E0	InfocPanelTy::ShiftControls	InfocPanelTy	0x1C	0	2	0	1	0	5
005206F0	InfocPanelTy::Update	InfocPanelTy	0x24	0	0	0	0	0	15
00521490	InfocPanelTy::GetMessage	InfocPanelTy	0x4	0	0	0	0	0	12
00522E80	IntercomPanelTy::GetMessage	IntercomPanelTy	0x0	0	0	0	0	0	21
00533D10	OptPanelTy::GetMessage	OptPanelTy	0x0	0	0	0	0	0	181
00538690	PanelTy::CreateBut	PanelTy	0x4 | 0x8	0	0	0	0	0	9
005389E0	PanelTy::PaintBut	PanelTy	0x8 | 0xC	0	0	0	0	0	9
00538BA0	PanelTy::PaintTxtBut	PanelTy	0x10 | 0xC	0	0	0	0	0	11
00538DB0	PanelTy::PaintIBut	PanelTy	0x10 | 0x14	0	0	0	0	0	12
00538FC0	PanelTy::PaintLBut	PanelTy	0x14 | 0x18	0	0	0	0	0	12
005397F0	PausePanelTy::GetMessage	PausePanelTy	0x0	0	0	0	0	0	12
0053AFB0	PlayPanelTy::GetMessage	PlayPanelTy	0x0	0	0	0	0	0	43
0053C500	ResearchPanelTy::Update	ResearchPanelTy	0x1C	0	0	0	0	0	6
0053CA80	ResearchPanelTy::GetMessage	ResearchPanelTy	0x0	0	0	0	0	0	17
0053D290	SAMPanelTy::ShiftControls	SAMPanelTy	0x18	0	2	0	1	0	5
0053D3B0	SAMPanelTy::Update	SAMPanelTy	0x20	0	0	0	0	0	5
0053D4D0	SAMPanelTy::GetMessage	SAMPanelTy	0x0	0	0	0	0	0	13
0053E920	SpecPanelTy::SetPanel	SpecPanelTy	0x1C | 0x20	0	0	0	0	0	6
0053F780	ProdPanelTy::ShiftControls	ProdPanelTy	0x18	0	3	0	0	0	7
00542EC0	InterSystemC::~InterSystemC	InterSystemC	0x4	0	4	4	2	0	5
00542F40	InterSystemC::GetMessage	InterSystemC	0x20	0	0	0	0	0	30
0054CF00	FUN_0054cf00	STPlaySystemC	0x8	0	0	0	2	0	2
0054CFC0	STPlaySystemC::InitSystem	STPlaySystemC	0x0	0	1	1	0	0	7
0054D180	STPlaySystemC::DoneSystem	STPlaySystemC	0x4	0	0	0	0	0	9
0054D640	STPlaySystemC::Life	STPlaySystemC	0x1C	0	0	0	1	0	77
0054E4F0	STPlaySystemC::GetMessage	STPlaySystemC	0x20	0	0	0	1	0	23
00551690	TradePanelTy::ShiftControls	TradePanelTy	0x18	0	2	0	1	0	8
005521B0	TradePanelTy::Update	TradePanelTy	0x20	0	0	0	0	0	6
005522A0	TradePanelTy::GetMessage	TradePanelTy	0x0	0	0	0	0	0	26
00552AF0	UpgPanelTy::ShiftControls	UpgPanelTy	0x18	0	2	0	1	0	4
00552BC0	UpgPanelTy::Update	UpgPanelTy	0x20	0	0	0	0	0	13
00552E40	UpgPanelTy::GetMessage	UpgPanelTy	0x0	0	0	0	0	0	6
005564C0	TraksClassTy::GetMessage	TraksClassTy	0x0	0	0	0	0	0	14
00558840	VisibleClassTy::GetMessage	VisibleClassTy	0x0	0	0	0	0	0	18
0055BD40	FUN_0055bd40	CFsgsConnection	0x58	0	0	0	1	0	2
0055C0E0	FUN_0055c0e0	CFsgsConnection	0x48	0	0	0	0	0	2
0055C260	FUN_0055c260	CFsgsConnection	0xC	0	1	1	1	0	1
0055C290	FUN_0055c290	CFsgsConnection	0x38	0	1	0	1	0	3
0055C2E0	FUN_0055c2e0	CFsgsConnection	0x3C	0	0	0	0	0	1
0055C500	FUN_0055c500	CFsgsConnection	0x10	0	3	1	0	0	1
0055C550	FUN_0055c550	CFsgsConnection	0x14	0	1	0	0	0	1
0055C590	FUN_0055c590	CFsgsConnection	0x54	0	0	0	0	0	9
0055C6C0	FUN_0055c6c0	CFsgsConnection	0x8	0	2	0	0	0	1
0055C740	FUN_0055c740	CFsgsConnection	0x4	0	1	0	0	0	1
0055C790	FUN_0055c790	CFsgsConnection	0x30	0	2	0	0	0	1
0055C7E0	FUN_0055c7e0	CFsgsConnection	0x34	0	2	0	0	0	1
0055C830	FUN_0055c830	CFsgsConnection	0x0	0	0	0	1	0	56
0055D440	FUN_0055d440	CFsgsConnection	0x24	0	0	0	0	0	1
0055D480	FUN_0055d480	CFsgsConnection	0x18	0	0	0	0	0	1
0055D4C0	FUN_0055d4c0	CFsgsConnection	0x28	0	0	0	0	0	1
0055D500	FUN_0055d500	CFsgsConnection	0x20	0	1	0	0	0	1
0055D550	FUN_0055d550	CFsgsConnection	0x2C	0	0	0	0	0	1
0055D630	FUN_0055d630	CFsgsConnection	0x44	0	0	0	0	0	1
0055D670	FUN_0055d670	CFsgsConnection	0x4C	0	0	0	0	0	1
0055D6B0	FUN_0055d6b0	CFsgsConnection	0x50	0	0	0	0	0	1
0056ADC0	STAppC::InitApp	STAppC	0x0	0	0	0	0	0	118
0056C750	STAppC::DoneApp	STAppC	0x4	0	0	0	0	0	42
0056D1F0	STAppC::CommonFunction	STAppC	0x14	0	0	0	0	0	7
0056FA60	STAppC::GetMessage	STAppC	0x18	0	0	0	0	0	112
00576AD0	BaseSystemC::CreateSystemObjects	BaseSystemC	0x14	0	0	0	0	0	5
00576E10	GameSystemC::CreateSystemObjects	GameSystemC	0x14	0	0	0	0	0	5
00576EF0	GameSystemC::InitSystem	GameSystemC	0x0	0	0	0	0	0	11
005770D0	GameSystemC::DoneSystem	GameSystemC	0x4	0	1	1	0	0	14
00577440	FUN_00577440	GameSystemC	0x1C	0	6	2	1	0	8
005776D0	GameSystemC::GetMessage	GameSystemC	0x20	0	0	0	1	0	43
00578200	DebugSystemC::CreateSystemObjects	DebugSystemC	0x14	0	0	0	0	0	4
00578630	STCrabC::GetMessage	STCrabC	0x0	0	0	0	0	0	54
0057BF60	STFishC::GetMessage	STFishC	0x0	0	0	0	0	0	52
0057E0A0	STDcResourcC::GetMessage	STDcResourcC	0x0	0	0	0	0	0	60
00580700	FUN_00580700	STDcResourcC	0x30	0	0	0	0	0	2
00580780	FUN_00580780	STDcResourcC	0x34	0	0	0	0	0	3
00580860	FUN_00580860	STDcResourcC	0x5C	0	0	0	0	0	1
005808A0	FUN_005808a0	STDcResourcC	0x58	0	0	0	0	0	1
00581BF0	STJellyManC::GetMessage	STJellyManC	0x0	0	0	0	0	0	23
00583270	STJellyGunC::GetMessage	STJellyGunC	0x0	0	0	0	0	0	57
005859A0	STLBombC::GetMessage	STLBombC	0x0	0	0	0	0	0	24
00588BC0	STMBombC::GetMessage	STMBombC	0x0	0	0	0	0	0	30
00589C10	STOctopusC::GetMessage	STOctopusC	0x0	0	0	0	0	0	42
0058C760	STSatC::GetMessage	STSatC	0x0	0	0	0	0	0	25
0058D7C0	STSharkC::GetMessage	STSharkC	0x0	0	0	0	0	0	52
005908B0	MAdvTy::GetMessage	MAdvTy	0x4	0	1	0	0	0	10
00592470	CampaignTy::CloseButtons	CampaignTy	0x8	0	0	0	0	0	6
00593040	CampaignTy::GetMessage	CampaignTy	0x0	0	1	0	0	0	34
00594440	ComboTy::GetMessage	ComboTy	0x4	0	0	0	0	0	12
0059B740	FSGSTy::CloseButtons	FSGSTy	0x8	0	0	0	0	0	6
005A4350	FSGSTy::GetMessage	FSGSTy	0x0	0	1	0	0	0	373
005ADF10	ChooseMapTy::CloseButtons	ChooseMapTy	0x8	0	0	0	0	0	8
005B0BA0	ChooseMapTy::GetMessage	ChooseMapTy	0x0	0	1	0	0	0	99
005B3C30	MainMenuTy::CloseButtons	MainMenuTy	0x8	0	0	0	0	0	6
005B4BB0	MainMenuTy::GetMessage	MainMenuTy	0x0	0	1	0	0	0	23
005B6220	MMObjTy::DoneMMObj	MMObjTy	0x4	0	0	0	0	0	7
005B6430	MMObjTy::GetMessage	MMObjTy	0x0	0	0	0	1	0	1
005B6480	MMObjTy::CloseButtons	MMObjTy	0x8	0	0	0	0	0	4
005B9170	MMsgTy::CloseSprBut	MMsgTy	0x8	0	0	0	0	0	6
005B9330	MMsgTy::GetMessage	MMsgTy	0x0	0	1	0	0	0	13
005BC5E0	PrividerTy::GetMessage	PrividerTy	0x0	0	1	0	0	0	69
005C29B0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_005B6730::sub_005C29B0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_005B6730	0x10	0	0	0	0	0	174
005C4930	SettMapTy::DoneSettMap	SettMapTy	0x14	0	0	0	0	0	39
005C5130	SettMapTy::NoneSettMap	SettMapTy	0xC	0	1	0	1	0	52
005C5B60	SettMapTy::CloseButtons	SettMapTy	0x8	0	0	0	0	0	8
005C6030	SettMapTy::CreateCtrls	SettMapTy	0x18	0	0	0	0	0	41
005C6D40	SettMapTy::DeleteCtrls	SettMapTy	0x1C	0	0	0	0	0	63
005CBD00	SettMapMTy::InitSettMap	SettMapMTy	0x10	0	0	0	0	0	31
005CC2D0	SettMapMTy::DoneSettMap	SettMapMTy	0x14	0	0	0	0	0	8
005CC440	SettMapMTy::CreateCtrls	SettMapMTy	0x18	0	0	0	0	0	13
005CC840	SettMapMTy::DeleteCtrls	SettMapMTy	0x1C	0	0	0	0	0	24
005CCE10	SettMapMTy::SetListCtrls	SettMapMTy	0x2C	0	0	0	0	0	14
005CD430	SettMapMTy::PrepPlList	SettMapMTy	0x28	0	1	0	0	0	13
005CE0E0	SettMapMTy::NoneSettMap	SettMapMTy	0xC	0	0	0	0	0	102
005D1400	SettMapMTy::GetMessage	SettMapMTy	0x0	0	1	0	0	0	148
005D4E90	SettMapSTy::SetListCtrls	SettMapSTy	0x2C	0	0	0	0	0	7
005D5160	SettMapSTy::PrepPlList	SettMapSTy	0x28	0	1	0	0	0	11
005D5560	SettMapSTy::GetMessage	SettMapSTy	0x0	0	1	0	0	0	79
005D9470	SIDTy::GetMessage	SIDTy	0x0	0	1	0	0	0	56
005DCC10	StartSystemTy::InitSystem	StartSystemTy	0x0	0	0	0	0	0	9
005DCD90	StartSystemTy::CreateSystemObjects	StartSystemTy	0x14	0	0	0	0	0	1
005DCDB0	StartSystemTy::~StartSystemTy	StartSystemTy	0x4	0	4	4	6	1	11
005DCE90	StartSystemTy::GetMessage	StartSystemTy	0x20	0	0	0	0	0	36
005E9830	WaitTy::CloseButtons	WaitTy	0x8	0	0	0	0	0	8
005EA680	WaitTy::GetMessage	WaitTy	0x0	0	1	0	0	0	36
005EAF10	STArtiafactC::GetMessage	STArtiafactC	0x4	0	0	0	1	0	55
005EE3F0	FUN_005ee3f0	STSprGameObjC	0xE0	0	0	0	0	0	10
005EFA90	FUN_005efa90	STSprGameObjC	0xA0	0	1	0	0	0	1
005EFAE0	FUN_005efae0	STSprGameObjC	0xA8	0	5	1	0	0	1
005EFB80	FUN_005efb80	STSprGameObjC	0xAC	0	3	3	0	0	0
005EFBD0	FUN_005efbd0	STSprGameObjC	0xB0	0	0	0	2	0	2
005EFC40	FUN_005efc40	STSprGameObjC	0xB4	0	4	2	1	0	2
005EFCD0	FUN_005efcd0	STSprGameObjC	0xB8	0	16	5	1	0	3
005F00B0	FUN_005f00b0	STSprGameObjC	0x30	0	0	0	0	0	5
005F0150	FUN_005f0150	STSprGameObjC	0x34	0	0	0	0	0	7
005F0240	FUN_005f0240	STSprGameObjC	0x5C	0	0	0	0	0	2
005F0280	FUN_005f0280	STSprGameObjC	0x58	0	0	0	0	0	2
005F04B0	FUN_005f04b0	STSprGameObjC	0x118	0	6	0	0	0	3
005F0E20	FUN_005f0e20	STSprGameObjC	0x28	0	0	0	0	0	2
005F10D0	STManBasisC::GetMessage	STManBasisC	0x0	0	0	0	0	0	13
005F27C0	STBHEShellC::GetMessage	STBHEShellC	0x0	0	0	0	0	0	45
005F5F20	STColl3C::GetMessage	STColl3C	0x0	0	0	0	1	0	32
005FB1F0	FUN_005fb1f0	STColl3C	0xDC	0	0	0	0	0	7
005FB640	STContainerC::GetMessage	STContainerC	0x4	0	0	0	1	0	54
005FD3A0	FUN_005fd3a0	STGameObjC	0x0	0	0	0	1	0	15
00601F80	STDestC::GetMessage	STDestC	0x0	0	0	0	1	0	26
00602740	FUN_00602740	STDestC	0x70	0	0	0	0	0	1
006033D0	FUN_006033d0	STDestC	0x30	0	0	0	0	0	3
00603470	FUN_00603470	STDestC	0x34	0	0	0	0	0	2
00603740	STExplosion::GetMessage	STExplosion	0x0	0	0	0	0	0	34
00608E90	FUN_00608e90	STGameObjC	0x0	0	0	0	1	0	41
0060EA30	FUN_0060ea30	STGameObjC	0x0	0	3	0	3	0	12
00617640	JumpManagC::GetMessage	JumpManagC	0x0	0	0	0	0	0	12
00618C00	STJumpMineC::GetMessage	STJumpMineC	0x0	0	0	0	0	0	27
0061D190	STLightC::GetMessage	STLightC	0x0	0	0	0	0	0	20
0061F660	SndUnderAttMenegC::GetMessage	SndUnderAttMenegC	0x4	0	0	0	0	0	7
00621B50	STMineSetC::GetMessage	STMineSetC	0x0	0	0	0	1	0	49
00626C00	FUN_00626c00	STMineSetC	0x70	0	0	0	0	0	1
00626C90	FUN_00626c90	STMineSetC	0x30	0	0	0	0	0	3
00626D70	FUN_00626d70	STMineSetC	0x34	0	0	0	0	0	2
00626FC0	FUN_00626fc0	STMineSetC	0x5C	0	0	0	0	0	2
00627050	FUN_00627050	STMineSetC	0x58	0	0	0	0	0	2
00627AA0	FUN_00627aa0	STMineSetC	0xF4	0	0	0	1	0	2
0062CCA0	STManRub3C::GetMessage	STManRub3C	0x0	0	0	0	0	0	12
0062E740	STRubbishC::GetMessage	STRubbishC	0x0	0	0	0	0	0	21
00630430	STManRuinC::GetMessage	STManRuinC	0x0	0	0	0	0	0	19
00638CA0	FUN_00638ca0	STGameObjC	0x0	0	0	0	1	0	35
00639C90	FUN_00639c90	STGameObjC	0x0	0	0	0	1	0	145
006406D0	STTorpC::GetMessage	STTorpC	0x0	0	0	0	0	0	115
006461E0	STVolcanoC::GetMessage	STVolcanoC	0x0	0	0	0	0	0	35
00647D90	FUN_00647d90	AiBossClassTy	0x30	0	0	0	0	0	1
00648030	AiBossClassTy::GetMessage	AiBossClassTy	0x0	0	0	0	0	0	19
00667D90	AiFltClassTy::GetMessage	AiFltClassTy	0x0	0	0	0	0	0	22
00678950	FUN_00678950	AiPlrClassTy	0x30	0	0	0	0	0	1
0067C7E0	AiPlrClassTy::GetMessage	AiPlrClassTy	0x0	0	0	0	0	0	41
00690B90	AiTactClassTy::GetMessage	AiTactClassTy	0x0	0	0	0	0	0	16
006E5150	STAppC::sub_006E5150	STAppC	0x18	0	1	0	1	0	2
0074A113	CBaseRenderer::EndOfStream	CBaseRenderer	0x68	0	1	0	1	0	2
0074A143	CBaseRenderer::BeginFlush	CBaseRenderer	0x84	0	0	0	2	0	5
